| Problem Name                                              | Problem Number | Approach                                                |
| Serialize and Deserialize Binary Tree                     |            297 | Preorder traversal + null markers                       |
| Implement Trie (Prefix Tree)                              |            208 | Trie nodes + children array                             |
| Design Add and Search Words Data Structure                |            211 | Trie + DFS for `.` wildcard                             |
| Word Search II                                            |            212 | Trie + DFS/backtracking                                 |
| Subsets                                                   |             78 | Backtracking; include/exclude                           |
| Combination Sum                                           |             39 | Backtracking + reusable elements                        |
| Combination Sum II                                        |             40 | Sorting + backtracking + duplicate skip                 |
| Permutations                                              |             46 | Backtracking + used tracking                            |
| Subsets II                                                |             90 | Sorting + backtracking + duplicate skip                 |
| Word Search                                               |             79 | DFS + backtracking                                      |
| Palindrome Partitioning                                   |            131 | Backtracking + palindrome check                         |
| Letter Combinations of a Phone Number                     |             17 | Backtracking over digit mappings                        |
| N-Queens                                                  |             51 | Backtracking + column/diagonal sets                     |
| Kth Largest Element in a Stream                           |            703 | Min-heap of size `k`                                    |
| Last Stone Weight                                         |           1046 | Max-heap                                                |
| K Closest Points to Origin                                |            973 | Max-heap of size `k`                                    |
| Kth Largest Element in an Array                           |            215 | Min-heap / Quickselect                                  |
| Task Scheduler                                            |            621 | Max-heap + cooldown scheduling                          |
| Design Twitter                                            |            355 | HashMap + heap + timestamps                             |
| Find Median from Data Stream                              |            295 | Two heaps: max-heap + min-heap                          |
| Insert Interval                                           |             57 | Merge overlapping intervals                             |
| Merge Intervals                                           |             56 | Sort by start + merge overlaps                          |
| Non-overlapping Intervals                                 |            435 | Greedy; sort by end time                                |
| Meeting Rooms                                             |            252 | Sort intervals + overlap check                          |
| Meeting Rooms II                                          |            253 | Min-heap of ending times                                |
| Minimum Interval to Include Each Query                    |           1851 | Sort intervals + queries + min-heap                     |
| Maximum Subarray                                          |             53 | Kadane's Algorithm                                      |
| Jump Game                                                 |             55 | Greedy; track farthest reachable index                  |
| Jump Game II                                              |             45 | Greedy BFS-like level expansion                         |
| Gas Station                                               |            134 | Greedy; reset start when tank becomes negative          |
| Hand of Straights                                         |            846 | Frequency map + ordered structure                       |
| Merge Triplets to Form Target Triplet                     |           1899 | Ignore invalid triplets + track achievable values       |
| Partition Labels                                          |            763 | Last occurrence + greedy partition                      |
| Valid Parenthesis String                                  |            678 | Greedy range of possible open brackets                  |
| Number of Islands                                         |            200 | DFS/BFS flood fill                                      |
| Max Area of Island                                        |            695 | DFS/BFS + count island size                             |
| Clone Graph                                               |            133 | DFS/BFS + HashMap                                       |
| Walls and Gates                                           |            286 | Multi-source BFS from gates                             |
| Rotting Oranges                                           |            994 | Multi-source BFS                                        |
| Pacific Atlantic Water Flow                               |            417 | Reverse DFS/BFS from both oceans                        |
| Surrounded Regions                                        |            130 | Boundary DFS/BFS + mark safe regions                    |
| Course Schedule                                           |            207 | Cycle detection / Topological Sort                      |
| Course Schedule II                                        |            210 | Topological Sort                                        |
| Graph Valid Tree                                          |            261 | DFS/Union-Find + no cycle + connectivity                |
| Number of Connected Components in an Undirected Graph     |            323 | DFS/BFS or Union-Find                                   |
| Redundant Connection                                      |            684 | Union-Find                                              |
| Word Ladder                                               |            127 | BFS over word transformations                           |
| Network Delay Time                                        |            743 | Dijkstra's Algorithm                                    |
| Reconstruct Itinerary                                     |            332 | DFS + Hierholzer's algorithm                            |
| Min Cost to Connect All Points                            |           1584 | Minimum Spanning Tree: Prim/Kruskal                     |
| Swim in Rising Water                                      |            778 | Min-heap / Dijkstra                                     |
| Alien Dictionary                                          |            269 | Build graph + Topological Sort                          |
| Cheapest Flights Within K Stops                           |            787 | Bellman-Ford / limited relaxation                       |
| Climbing Stairs                                           |             70 | 1D Dynamic Programming                                  |
| Min Cost Climbing Stairs                                  |            746 | 1D Dynamic Programming                                  |
| House Robber                                              |            198 | 1D DP: rob / skip                                       |
| House Robber II                                           |            213 | House Robber twice: exclude first or last               |
| Longest Palindromic Substring                             |              5 | Expand around center                                    |
| Palindromic Substrings                                    |            647 | Expand around every center                              |
| Decode Ways                                               |             91 | 1D DP based on valid 1/2 digit decoding                 |
| Coin Change                                               |            322 | 1D DP: minimum coins                                    |
| Maximum Product Subarray                                  |            152 | Track current max and min product                       |
| Word Break                                                |            139 | 1D DP + dictionary lookup                               |
| Longest Increasing Subsequence                            |            300 | DP / Binary Search                                      |
| Partition Equal Subset Sum                                |            416 | 0/1 Knapsack DP                                         |
| Unique Paths                                              |             62 | 2D / 1D DP                                              |
| Longest Common Subsequence                                |           1143 | 2D DP                                                   |
| Best Time to Buy and Sell Stock with Cooldown             |            309 | State-based DP                                          |
| Coin Change II                                            |            518 | Unbounded Knapsack DP                                   |
| Target Sum                                                |            494 | DP / subset-sum transformation                          |
| Interleaving String                                       |             97 | 2D DP                                                   |
| Longest Increasing Path in a Matrix                       |            329 | DFS + Memoization                                       |
| Distinct Subsequences                                     |            115 | 2D DP                                                   |
| Edit Distance                                             |             72 | 2D DP                                                   |
| Burst Balloons                                            |            312 | Interval DP                                             |
| Regular Expression Matching                               |             10 | 2D DP + pattern matching                                |
| Single Number                                             |            136 | XOR                                                     |
| Number of 1 Bits                                          |            191 | Bit manipulation / `n & (n-1)`                          |
| Counting Bits                                             |            338 | DP using `i & (i-1)`                                    |
| Reverse Bits                                              |            190 | Bit-by-bit reversal                                     |
| Missing Number                                            |            268 | XOR / arithmetic sum                                    |
| Sum of Two Integers                                       |            371 | Bitwise XOR + carry                                     |
| Reverse Integer                                           |              7 | Digit extraction + overflow check                       |
| Rotate Image                                              |             48 | Transpose + reverse rows                                |
| Spiral Matrix                                             |             54 | Boundary traversal                                      |
| Set Matrix Zeroes                                         |             73 | First row/column as markers                             |
| Happy Number                                              |            202 | HashSet / Floyd cycle detection                         |
| Plus One                                                  |             66 | Process digits from right with carry                    |
| Pow(x, n)                                                 |             50 | Binary Exponentiation                                   |
| Multiply Strings                                          |             43 | Digit multiplication + carry                            |
| Detect Squares                                            |           2013 | HashMap frequency + coordinate geometry                 |
